cid,MW
3059,250.19999999999996
3060,508.5580000000003
3062,780.9490000000003
3063,301.3860000000001
3066,583.689
3075,415.5350000000002
3080,124.22999999999996
3100,255.361
3105,351.44300000000015
3108,504.6360000000005
3114,339.4830000000002
3117,296.5520000000001
3121,144.214
3125,195.21799999999996
3143,807.8900000000004
3148,324.38000000000005
3151,425.92000000000024
3152,379.50000000000006
3154,324.44900000000007
3155,295.451
3156,378.5160000000003
3157,451.4830000000002
3158,279.383
3168,379.43500000000006
3171,213.189
3182,254.246
3198,381.68999999999994
3199,761.8500000000004
3202,166.244
3203,315.67799999999994
3209,302.458
3219,302.4220000000001
3222,376.45300000000026
3226,184.491
3241,249.317
3249,396.65900000000016
3250,325.4120000000001
3251,581.673
3255,733.9370000000002
3256,862.064
3261,294.745
3263,396.5710000000002
3267,356.50600000000003
3268,520.3900000000003
3269,288.387
3278,303.14099999999996
3279,204.314
3291,141.17
3292,204.229
3305,206.027
3308,287.3589999999999
3310,588.5620000000005
3324,321.33700000000016
3325,337.4560000000001
3331,238.2429999999999
3333,384.2590000000001
3339,360.837
3340,306.769
3342,242.274
3345,336.479
3348,501.6670000000001
3350,372.5530000000001
3354,391.4670000000002
3355,415.354
3363,246.194
3364,453.8790000000002
3365,306.276
3366,129.094
3367,285.23500000000007
3368,365.21400000000006
3370,422.49300000000017
3372,437.5310000000002
3373,303.29300000000006
3375,410.4570000000001
3379,434.5040000000002
3380,313.288
3381,452.4940000000002
3382,494.53100000000023
3384,376.4680000000001
3385,130.07799999999995
3386,309.33099999999996
3387,336.447
3388,591.7840000000004
3392,436.5200000000002
3393,387.886
3394,244.265
3397,276.21399999999994
3399,500.5790000000002
3403,411.473
3404,318.339
3405,441.40400000000017
3406,82.106
3410,344.411
3414,122.98
3417,138.059
3419,562.664
3425,540.7080000000002
3440,330.749
3443,516.7190000000004
3446,171.23999999999998
3449,287.359
3454,255.234
3461,263.2
3462,394.55200000000013
3463,250.3379999999999
3467,477.60300000000024
3475,323.4180000000002
3476,490.62600000000026
3478,445.54500000000024
3488,494.01300000000026
3494,318.43699999999995
3510,312.41700000000003
3512,352.77000000000004
3516,198.21799999999996
3517,231.08599999999996
3519,246.097
3520,59.072
3553,454.9660000000002
3559,375.871
3598,406.9069999999999
3623,275.348
3636,360.4740000000001
3637,160.18
3639,297.745
3640,362.46600000000007
3642,432.55700000000024
3647,331.29699999999997
3648,285.3430000000001
3652,335.8790000000001
3657,76.05499999999999
3658,374.912
3661,289.375
3672,206.28499999999997
3675,136.19799999999998
3676,234.343
3685,497.5000000000002
3687,354.1
3690,261.08899999999994
3696,280.415
3702,365.842
3706,613.803
3715,357.7930000000002
3724,1550.1880000000006
3730,821.1410000000001
3734,777.0880000000001
3736,791.1149999999999
3737,613.9150000000001
3738,1626.2390000000005
3739,1139.7640000000004
3741,807.1140000000001
3742,1268.8830000000005
3743,791.115
3746,332.464
3749,428.5400000000001
3750,586.689
3759,231.255
3763,184.491
3767,137.14199999999997
3777,424.62200000000024
3779,211.261
3780,236.13599999999997
3783,301.386
3784,371.39300000000014
3793,705.6470000000003
3821,237.73
3823,531.4400000000003
3825,254.285
3826,255.273
3827,309.4340000000001
3830,215.21600000000004
3848,166.176
3869,328.41200000000003
3872,342.297
3877,229.261
3878,256.096
3883,369.36800000000005
3890,432.60100000000017
3899,270.21
3902,285.31
3911,1209.4210000000005
3914,291.391
3915,420.52800000000025
3916,328.48100000000005
3918,257.377
3928,406.5450000000002
3929,337.35100000000017
3937,405.49500000000006
3938,338.4550000000001
3939,23.948
3948,351.35300000000007
3950,233.699
3954,478.0560000000001
3957,382.8910000000001
3958,321.163
3961,422.9200000000001
3962,404.54700000000025
3964,327.81500000000005
3998,186.236
4004,330.36400000000003
4011,277.41100000000006
4030,295.298
4031,429.55700000000024
4032,167.296
4033,156.056
4034,390.9580000000001
4036,295.145
4042,386.5320000000002
4043,344.49500000000006
4044,241.29
4046,378.316
4048,384.5160000000002
4051,373.39100000000013
4053,305.2049999999999
4054,179.307
4057,340.44300000000004
4058,247.338
4060,218.256
4062,246.35399999999993
4064,218.25299999999996
4075,153.137
4086,211.261
4091,129.167
4095,309.45300000000003
4101,140.19
4107,241.2429999999999
4112,454.44700000000023
4114,216.192
4120,318.393
4121,360.244
4138,211.217
4139,284.40799999999996
4140,339.4390000000001
4158,233.31100000000004
4159,374.47700000000015
4160,302.45799999999997
4163,353.4660000000001
4168,299.802
4170,365.8420000000001
4171,267.36899999999997
4173,171.15599999999998
4174,226.279
4178,179.26299999999995
4184,264.372
4189,416.135
4192,325.774
4195,254.28599999999997
4196,429.60400000000016
4197,211.224
4201,209.253
4205,265.35999999999996
4211,320.04599999999994
4212,444.4880000000002
4235,268.744
4236,273.35699999999997
4240,521.4370000000001
4248,586.1970000000003
4253,285.343
4259,401.43800000000016
4264,500.6290000000006
4271,433.5010000000003
4272,320.341
4274,382.4620000000002
4409,228.291
4411,309.40600000000006
4419,357.45000000000005
4421,232.239
4422,339.4350000000001
4425,327.37999999999994
4428,341.407
4432,428.65700000000027
4436,210.28
4440,335.47300000000024
4443,317.4290000000001
4449,470.0170000000003
4450,253.345
4451,567.7960000000004
4454,614.6500000000002
4456,223.29599999999996
4463,266.30400000000003
4473,480.54100000000017
4485,346.3390000000001
4493,317.223
4497,418.44600000000025
4499,388.4200000000002
4506,281.271
4509,238.159
4510,227.08499999999995
4513,331.4670000000001
4536,298.42600000000004
4539,319.336
4542,312.45300000000003
4543,263.38399999999996
4547,452.5950000000003
4568,926.107000000001
4583,361.3730000000001
4585,312.44200000000006
4594,345.42400000000004
4595,293.37
4599,495.7450000000004
4601,269.388
4603,312.4100000000001
4607,400.4360000000002
4609,397.288
4614,293.32199999999995
4616,286.718
4623,429.134
